"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6025,"C GULF","Other","East",2000,-0.256926309047291,"F",1,11,3,4,11,7,9,9,9,9,10,10,10,9,9,10,9,10,9
6027,"C GULF","Other","East",2000,1.19997904785792,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6028,"C GULF","Other","East",2000,0.908597976476877,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11
6032,"C GULF","Other","East",2000,0.617216905095835,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6033,"C GULF","Other","East",2000,0.617216905095835,"F",1,11,11,11,11,7,11,11,10,9,9,10,10,9,9,10,9,11,10
6034,"C GULF","Other","East",2000,-0.888251963706216,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6037,"C GULF","Other","East",2000,0.277272321817953,"F",1,11,11,11,6,7,9,9,10,9,10,10,10,10,10,10,9,10,11
6040,"C GULF","Other","East",2000,-0.693997916118855,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6042,"C GULF","Other","East",2000,0.180145298024271,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6047,"C GULF","Other","East",2000,1.10285202406424,"F",1,2,3,4,11,8,9,9,9,11,11,11,11,11,11,11,11,11,11
6048,"C GULF","Other","East",2000,0.374399345611633,"F",1,11,3,11,11,7,11,11,9,11,11,11,11,11,11,11,11,11,11
6050,"C GULF","Other","East",2000,1.5399236311358,"F",1,11,11,11,11,7,11,11,11,10,11,11,11,11,11,11,11,11,11
6053,"C GULF","Other","East",2000,0.471526369405314,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6054,"C GULF","Other","East",2000,1.2971060716516,"F",1,2,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6055,"C GULF","Other","East",2000,-0.645434404222014,"F",1,11,11,4,5,8,11,10,10,10,10,11,9,10,9,11,11,11,11
6057,"C GULF","Other","East",2000,0.520089881302154,"F",1,2,3,4,11,7,11,11,10,10,10,10,9,9,10,9,9,10,9
6058,"C GULF","Other","East",2000,0.665780416992675,"F",1,2,3,4,5,8,9,10,10,10,9,10,10,11,11,11,11,11,11
6060,"C GULF","Other","East",2000,0.811470952683196,"F",1,11,3,4,5,7,10,10,9,10,10,10,10,10,10,10,10,11,11
6061,"C GULF","Other","East",2000,0.714343928889516,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6062,"C GULF","Other","East",2000,-1.32532357077778,"F",1,11,3,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11
6064,"C GULF","Other","East",2000,-1.7138316659525,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6067,"C GULF","Other","East",2000,-0.305489820944132,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6069,"C GULF","Other","East",2000,-0.839688451809376,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6070,"C GULF","Other","East",2000,-0.596870892325174,"F",1,11,3,4,11,11,11,11,11,10,11,9,11,11,11,11,11,11,11
6076,"C GULF","Other","East",2000,-0.985378987499896,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6077,"C GULF","Other","East",2000,-0.111235773356771,"F",1,2,3,4,11,7,9,9,10,11,10,10,9,10,10,10,11,11,9
6078,"C GULF","Other","East",2000,-0.402616844737813,"F",1,2,3,11,5,8,10,10,10,10,9,10,11,11,11,11,11,11,11
6079,"C GULF","Other","East",2000,-0.305489820944132,"F",1,11,11,11,11,7,9,11,9,9,10,10,9,9,10,10,11,11,11
6081,"C GULF","Other","East",2000,-1.13106952319042,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6086,"C GULF","Other","East",2000,-1.4710141064683,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6087,"C GULF","Other","East",2000,-0.305489820944132,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6089,"C GULF","Other","East",2000,-0.499743868531493,"F",1,2,11,4,5,11,9,9,10,11,10,11,10,10,10,10,11,10,9
6093,"C GULF","Other","East",2000,-1.81095868974618,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6094,"C GULF","Other","East",2000,1.78274119062,"F",1,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6096,"C GULF","Other","East",2000,-2.39372083250827,"F",1,2,3,11,5,7,9,11,9,11,10,11,11,11,11,11,11,11,11
6103,"C GULF","Other","East",2000,-0.354053332840972,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6104,"C GULF","Other","East",2000,-1.81095868974618,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6106,"C GULF","Other","East",2000,-2.10233976112722,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6107,"C GULF","Other","East",2000,1.97699523820736,"F",1,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6110,"C GULF","Other","East",2000,1.0542885121674,"F",1,11,11,4,11,7,9,10,9,9,10,10,10,10,10,10,9,11,11
6119,"C GULF","Other","East",2000,0.957161488373718,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6120,"C GULF","Other","East",2000,1.34566958354844,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6123,"C GULF","Other","East",2000,-2.97648297527035,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6124,"C GULF","Other","East",2000,-1.42245059457146,"F",1,2,3,4,5,7,10,10,11,11,11,11,11,11,11,11,11,11,11
6125,"C GULF","Other","East",2000,1.24854255975476,"F",1,11,3,4,5,7,9,10,10,10,10,9,10,10,9,10,10,9,9
6126,"C GULF","Other","East",2000,0.665780416992675,"F",1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6127,"C GULF","Other","East",2000,0.325835833714793,"F",1,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11
6131,"C GULF","Other","East",2000,-1.27676005888094,"F",1,2,3,4,5,7,9,10,9,10,10,10,10,10,10,10,11,11,11
6136,"C GULF","Other","East",2000,-1.61670464215882,"F",1,11,11,11,11,7,11,9,9,9,10,10,10,9,10,9,11,9,10
6138,"C GULF","Other","East",2000,0.0344547623337508,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6139,"C GULF","Other","East",2000,-0.354053332840972,"F",1,11,11,11,11,11,11,11,9,9,9,11,9,9,11,11,11,11,11
6140,"C GULF","Other","East",2000,0.180145298024271,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6141,"C GULF","Other","East",2000,-0.402616844737813,"F",1,11,11,11,5,7,11,9,9,10,10,10,11,11,11,11,11,11,11
6142,"C GULF","Other","East",2000,0.471526369405314,"F",1,11,11,4,5,7,9,11,9,11,9,11,11,11,11,11,11,11,11
6144,"C GULF","Other","East",2000,-1.4710141064683,"F",1,11,3,4,11,11,11,9,9,11,9,9,11,11,11,11,11,11,11
6148,"C GULF","Other","East",2000,-2.05377624923038,"F",1,11,11,11,5,11,11,11,10,10,10,10,10,10,10,10,10,11,11
6149,"C GULF","Other","East",2000,-1.27676005888094,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
