"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2011","2012","2013","2014","2015","2016","2017","2018"
14506,"W ALEU","W ALEU","West",2011,-1.03394249939674,"F",1,11,3,4,5,7,9,11
14507,"W ALEU","W ALEU","West",2011,-1.56814113026198,"F",1,11,3,11,11,11,11,11
14509,"W ALEU","W ALEU","West",2011,-0.499743868531493,"F",1,11,11,11,11,7,11,11
14510,"W ALEU","W ALEU","West",2011,0.277272321817953,"F",1,11,11,11,11,11,11,11
14511,"W ALEU","W ALEU","West",2011,-1.37388708267462,"F",1,11,11,11,11,11,11,11
14512,"W ALEU","W ALEU","West",2011,0.568653393198995,"F",1,2,11,11,11,11,11,11
14513,"W ALEU","W ALEU","West",2011,-0.0626722614599304,"F",1,11,3,11,11,11,11,11
14514,"W ALEU","W ALEU","West",2011,0.908597976476877,"F",1,2,11,4,5,7,9,11
14515,"W ALEU","W ALEU","West",2011,-0.111235773356771,"F",1,2,3,4,5,8,11,9
14516,"W ALEU","W ALEU","West",2011,-1.4710141064683,"F",1,11,11,11,11,11,11,11
14517,"W ALEU","W ALEU","West",2011,-1.27676005888094,"F",1,11,11,4,5,8,10,10
14518,"W ALEU","W ALEU","West",2011,0.714343928889516,"F",1,2,11,11,11,11,11,11
14519,"W ALEU","W ALEU","West",2011,-1.13106952319042,"F",1,11,11,11,11,11,11,11
14520,"W ALEU","W ALEU","West",2011,0.228708809921112,"F",1,11,11,11,11,11,11,11
14523,"W ALEU","W ALEU","West",2011,-1.56814113026198,"F",1,2,11,11,11,11,11,11
14524,"W ALEU","W ALEU","West",2011,-0.159799285253611,"F",1,2,3,4,6,8,10,9
14528,"W ALEU","W ALEU","West",2011,-1.81095868974618,"F",1,11,11,11,11,11,11,11
14530,"W ALEU","W ALEU","West",2011,0.228708809921112,"F",1,11,3,11,11,11,11,11
14531,"W ALEU","W ALEU","West",2011,0.374399345611633,"F",1,11,3,4,5,8,9,11
14532,"W ALEU","W ALEU","West",2011,0.374399345611633,"F",1,2,11,11,11,11,11,11
14535,"W ALEU","W ALEU","West",2011,1.58848714303264,"F",1,2,11,11,11,11,11,11
14539,"W ALEU","W ALEU","West",2011,1.2971060716516,"F",1,2,3,11,11,11,11,11
14540,"W ALEU","W ALEU","West",2011,-1.08250601129358,"F",1,11,11,4,11,11,11,11
14543,"W ALEU","W ALEU","West",2011,1.73417767872316,"F",1,11,3,4,5,7,9,9
14544,"W ALEU","W ALEU","West",2011,-1.51957761836514,"F",1,11,3,4,11,11,11,11
14545,"W ALEU","W ALEU","West",2011,1.68561416682632,"F",1,11,11,11,11,11,11,11
14547,"W ALEU","W ALEU","West",2011,-0.548307380428334,"F",1,2,3,4,11,11,11,11
14554,"W ALEU","W ALEU","West",2011,-1.37388708267462,"F",1,11,11,11,11,11,11,11
14556,"W ALEU","W ALEU","West",2011,-0.596870892325174,"F",1,11,11,11,11,11,11,11
14557,"W ALEU","W ALEU","West",2011,-1.61670464215882,"F",1,2,3,4,11,11,11,11
14559,"W ALEU","W ALEU","West",2011,0.714343928889516,"F",1,11,11,11,5,8,9,9
15163,"W ALEU","W ALEU","West",2013,-1.03394249939674,"F",11,11,1,2,3,11,11,11
15165,"W ALEU","W ALEU","West",2013,-0.645434404222014,"F",11,11,1,2,11,11,11,11
15166,"W ALEU","W ALEU","West",2013,-0.256926309047291,"F",11,11,1,2,11,11,11,11
15167,"W ALEU","W ALEU","West",2013,-0.839688451809376,"F",11,11,1,2,11,11,11,11
15169,"W ALEU","W ALEU","West",2013,-2.53941136819879,"F",11,11,1,11,11,11,11,11
15170,"W ALEU","W ALEU","West",2013,-2.34515732061143,"F",11,11,1,2,11,11,11,11
15171,"W ALEU","W ALEU","West",2013,0.762907440786356,"F",11,11,1,2,11,11,11,11
15176,"W ALEU","W ALEU","West",2013,0.0344547623337508,"F",11,11,1,2,3,4,5,7
15177,"W ALEU","W ALEU","West",2013,-1.7138316659525,"F",11,11,1,2,3,11,11,11
15178,"W ALEU","W ALEU","West",2013,-0.645434404222014,"F",11,11,1,11,11,11,11,11
15179,"W ALEU","W ALEU","West",2013,-0.742561428015695,"F",11,11,1,2,11,11,11,11
15182,"W ALEU","W ALEU","West",2013,0.908597976476877,"F",11,11,1,2,3,4,5,11
15184,"W ALEU","W ALEU","West",2013,-0.791124939912536,"F",11,11,1,11,11,11,11,11
15186,"W ALEU","W ALEU","West",2013,-0.888251963706216,"F",11,11,1,2,11,11,11,11
15187,"W ALEU","W ALEU","West",2013,-1.90808571353986,"F",11,11,1,11,11,11,11,11
15188,"W ALEU","W ALEU","West",2013,0.083018274230591,"F",11,11,1,11,11,11,11,11
15189,"W ALEU","W ALEU","West",2013,0.568653393198995,"F",11,11,1,11,11,11,11,11
15194,"W ALEU","W ALEU","West",2013,-0.888251963706216,"F",11,11,1,11,11,11,11,11
15197,"W ALEU","W ALEU","West",2013,-1.7138316659525,"F",11,11,1,11,11,11,11,11
15202,"W ALEU","W ALEU","West",2013,1.0542885121674,"F",11,11,1,2,11,11,5,11
15205,"W ALEU","W ALEU","West",2013,-1.42245059457146,"F",11,11,1,11,11,11,11,11
15206,"W ALEU","W ALEU","West",2013,-1.27676005888094,"F",11,11,1,11,11,11,11,11
15208,"C ALEU","Other","West",2013,0.957161488373718,"F",11,11,1,11,11,11,11,11
15210,"C ALEU","Other","West",2013,2.60832089286629,"F",11,11,1,11,3,11,11,11
15211,"C ALEU","Other","West",2013,1.39423309544528,"F",11,11,1,11,11,11,11,11
15212,"C ALEU","Other","West",2013,-0.256926309047291,"F",11,11,1,11,11,4,5,7
15213,"C ALEU","Other","West",2013,1.87986821441368,"F",11,11,1,11,11,11,5,8
15217,"C ALEU","Other","West",2013,2.36550333338209,"F",11,11,1,11,11,11,11,11
15218,"C ALEU","Other","West",2013,1.68561416682632,"F",11,11,1,11,11,11,11,11
15221,"C ALEU","Other","West",2013,2.12268577389789,"F",11,11,1,11,11,11,11,11
15223,"C ALEU","Other","West",2013,0.957161488373718,"F",11,11,1,11,11,11,11,11
15225,"C ALEU","Other","West",2013,1.19997904785792,"F",11,11,1,11,11,11,11,11
15226,"C ALEU","Other","West",2013,2.26837630958841,"F",11,11,1,11,11,11,11,11
15227,"C ALEU","Other","West",2013,0.811470952683196,"F",11,11,1,2,3,11,11,11
15229,"C ALEU","Other","West",2013,-1.4710141064683,"F",11,11,1,11,11,11,11,11
15230,"C ALEU","Other","West",2013,1.24854255975476,"F",11,11,1,11,11,11,11,11
15231,"C ALEU","Other","West",2013,0.083018274230591,"F",11,11,1,11,3,11,11,11
15232,"C ALEU","Other","West",2013,1.73417767872316,"F",11,11,1,11,11,11,11,7
15235,"C ALEU","Other","West",2013,1.44279660734212,"F",11,11,1,11,11,11,11,11
15237,"C ALEU","Other","West",2013,1.5399236311358,"F",11,11,1,2,11,11,11,11
15238,"C ALEU","Other","West",2013,1.39423309544528,"F",11,11,1,11,11,11,11,11
15239,"C ALEU","Other","West",2013,1.83130470251684,"F",11,11,1,2,11,11,11,11
15240,"C ALEU","Other","West",2013,3.8224086902873,"F",11,11,1,11,11,11,11,11
15241,"C ALEU","Other","West",2013,1.00572500027056,"F",11,11,1,11,11,11,11,11
15243,"C ALEU","Other","West",2013,-0.645434404222014,"F",11,11,1,11,11,11,11,11
15244,"C ALEU","Other","West",2013,1.58848714303264,"F",11,11,1,2,11,11,11,11
15245,"C ALEU","Other","West",2013,1.44279660734212,"F",11,11,1,2,3,4,5,7
15246,"C ALEU","Other","West",2013,1.68561416682632,"F",11,11,1,11,11,11,11,11
15250,"C ALEU","Other","West",2013,0.0344547623337508,"F",11,11,1,11,11,11,11,11
15252,"C ALEU","Other","West",2013,-1.13106952319042,"F",11,11,1,11,11,11,5,11
15254,"C ALEU","Other","West",2013,1.39423309544528,"F",11,11,1,11,11,11,11,11
15255,"C ALEU","Other","West",2013,1.73417767872316,"F",11,11,1,11,11,11,11,11
15256,"C ALEU","Other","West",2013,0.714343928889516,"F",11,11,1,11,11,11,11,11
15260,"C ALEU","Other","West",2013,0.811470952683196,"F",11,11,1,2,3,11,11,11
15262,"C ALEU","Other","West",2013,1.78274119062,"F",11,11,1,11,11,11,11,11
15264,"C ALEU","Other","West",2013,1.49136011923896,"F",11,11,1,2,11,11,11,11
15266,"C ALEU","Other","West",2013,1.34566958354844,"F",11,11,1,11,11,11,11,11
15676,"W ALEU","W ALEU","West",2015,-1.37388708267462,"F",11,11,11,11,1,2,3,11
15683,"W ALEU","W ALEU","West",2015,-1.03394249939674,"F",11,11,11,11,1,2,11,11
15689,"W ALEU","W ALEU","West",2015,-1.2281965469841,"F",11,11,11,11,1,11,11,11
15690,"W ALEU","W ALEU","West",2015,0.957161488373718,"F",11,11,11,11,1,11,11,11
15691,"W ALEU","W ALEU","West",2015,-0.888251963706216,"F",11,11,11,11,1,2,11,11
15692,"W ALEU","W ALEU","West",2015,-0.839688451809376,"F",11,11,11,11,1,11,11,11
15693,"W ALEU","W ALEU","West",2015,-0.159799285253611,"F",11,11,11,11,1,11,11,11
15694,"W ALEU","W ALEU","West",2015,-1.37388708267462,"F",11,11,11,11,1,2,3,11
15702,"W ALEU","W ALEU","West",2015,-1.51957761836514,"F",11,11,11,11,1,2,3,11
15706,"W ALEU","W ALEU","West",2015,-0.548307380428334,"F",11,11,11,11,1,2,11,11
15708,"W ALEU","W ALEU","West",2015,-1.2281965469841,"F",11,11,11,11,1,11,11,11
15709,"W ALEU","W ALEU","West",2015,0.131581786127431,"F",11,11,11,11,1,11,11,11
15712,"W ALEU","W ALEU","West",2015,0.131581786127431,"F",11,11,11,11,1,2,3,4
15713,"W ALEU","W ALEU","West",2015,-0.111235773356771,"F",11,11,11,11,1,11,11,11
15717,"W ALEU","W ALEU","West",2015,-0.936815475603056,"F",11,11,11,11,1,11,11,11
15719,"W ALEU","W ALEU","West",2015,-0.499743868531493,"F",11,11,11,11,1,2,3,11
15721,"W ALEU","W ALEU","West",2015,-0.596870892325174,"F",11,11,11,11,1,2,3,11
15722,"W ALEU","W ALEU","West",2015,-0.111235773356771,"F",11,11,11,11,1,11,11,11
15725,"C ALEU","Other","West",2015,-1.03394249939674,"F",11,11,11,11,1,11,11,11
15727,"C ALEU","Other","West",2015,0.617216905095835,"F",11,11,11,11,1,2,11,11
15728,"C ALEU","Other","West",2015,-1.2281965469841,"F",11,11,11,11,1,2,11,11
15729,"C ALEU","Other","West",2015,1.24854255975476,"F",11,11,11,11,1,11,11,11
15730,"C ALEU","Other","West",2015,0.0344547623337508,"F",11,11,11,11,1,11,11,11
15732,"C ALEU","Other","West",2015,1.63705065492948,"F",11,11,11,11,1,11,11,11
15733,"C ALEU","Other","West",2015,0.277272321817953,"F",11,11,11,11,1,2,11,11
15734,"C ALEU","Other","West",2015,1.10285202406424,"F",11,11,11,11,1,11,11,11
15736,"C ALEU","Other","West",2015,0.811470952683196,"F",11,11,11,11,1,2,11,11
15744,"C ALEU","Other","West",2015,0.180145298024271,"F",11,11,11,11,1,11,11,11
15745,"C ALEU","Other","West",2015,0.762907440786356,"F",11,11,11,11,1,11,11,11
15746,"C ALEU","Other","West",2015,0.422962857508473,"F",11,11,11,11,1,11,11,11
15748,"C ALEU","Other","West",2015,-1.17963303508726,"F",11,11,11,11,1,11,11,11
15750,"C ALEU","Other","West",2015,0.131581786127431,"F",11,11,11,11,1,11,11,11
15753,"C ALEU","Other","West",2015,1.73417767872316,"F",11,11,11,11,1,11,11,11
15754,"C ALEU","Other","West",2015,0.520089881302154,"F",11,11,11,11,1,11,11,11
15755,"C ALEU","Other","West",2015,0.471526369405314,"F",11,11,11,11,1,11,11,11
15756,"C ALEU","Other","West",2015,1.58848714303264,"F",11,11,11,11,1,11,11,11
15757,"C ALEU","Other","West",2015,0.957161488373718,"F",11,11,11,11,1,11,11,11
15758,"C ALEU","Other","West",2015,-0.354053332840972,"F",11,11,11,11,1,2,11,11
15760,"C ALEU","Other","West",2015,0.277272321817953,"F",11,11,11,11,1,11,11,11
15762,"C ALEU","Other","West",2015,0.277272321817953,"F",11,11,11,11,1,11,11,11
15765,"C ALEU","Other","West",2015,1.39423309544528,"F",11,11,11,11,1,11,11,11
15766,"C ALEU","Other","West",2015,1.0542885121674,"F",11,11,11,11,1,2,11,11
15772,"C ALEU","Other","West",2015,0.617216905095835,"F",11,11,11,11,1,11,11,11
15774,"C ALEU","Other","West",2015,-0.596870892325174,"F",11,11,11,11,1,2,11,11
15883,"W ALEU","W ALEU","West",2017,-0.0141087495630893,"F",11,11,11,11,11,11,1,11
15884,"W ALEU","W ALEU","West",2017,0.131581786127431,"F",11,11,11,11,11,11,1,2
15888,"W ALEU","W ALEU","West",2017,0.374399345611633,"F",11,11,11,11,11,11,1,2
15892,"W ALEU","W ALEU","West",2017,-0.111235773356771,"F",11,11,11,11,11,11,1,2
15893,"W ALEU","W ALEU","West",2017,-0.402616844737813,"F",11,11,11,11,11,11,1,2
15897,"W ALEU","W ALEU","West",2017,1.87986821441368,"F",11,11,11,11,11,11,1,2
15899,"W ALEU","W ALEU","West",2017,0.083018274230591,"F",11,11,11,11,11,11,1,2
15900,"W ALEU","W ALEU","West",2017,-1.90808571353986,"F",11,11,11,11,11,11,1,11
15902,"W ALEU","W ALEU","West",2017,-0.305489820944132,"F",11,11,11,11,11,11,1,11
15903,"W ALEU","W ALEU","West",2017,0.860034464580037,"F",11,11,11,11,11,11,1,11
15905,"W ALEU","W ALEU","West",2017,0.665780416992675,"F",11,11,11,11,11,11,1,11
15906,"W ALEU","W ALEU","West",2017,0.0344547623337508,"F",11,11,11,11,11,11,1,2
15907,"W ALEU","W ALEU","West",2017,-0.208362797150451,"F",11,11,11,11,11,11,1,2
15908,"W ALEU","W ALEU","West",2017,-0.354053332840972,"F",11,11,11,11,11,11,1,11
15909,"W ALEU","W ALEU","West",2017,1.49136011923896,"F",11,11,11,11,11,11,1,2
15910,"W ALEU","W ALEU","West",2017,-0.451180356634653,"F",11,11,11,11,11,11,1,2
15913,"W ALEU","W ALEU","West",2017,-1.05822425534516,"F",11,11,11,11,11,11,1,2
15914,"W ALEU","W ALEU","West",2017,1.34566958354844,"F",11,11,11,11,11,11,1,2
15915,"W ALEU","W ALEU","West",2017,1.24854255975476,"F",11,11,11,11,11,11,1,2
15916,"W ALEU","W ALEU","West",2017,1.39423309544528,"F",11,11,11,11,11,11,1,11
15917,"W ALEU","W ALEU","West",2017,0.325835833714793,"F",11,11,11,11,11,11,1,11
15918,"W ALEU","W ALEU","West",2017,0.277272321817953,"F",11,11,11,11,11,11,1,11
15919,"W ALEU","W ALEU","West",2017,-0.499743868531493,"F",11,11,11,11,11,11,1,11
15920,"W ALEU","W ALEU","West",2017,-1.03394249939674,"F",11,11,11,11,11,11,1,2
15922,"W ALEU","W ALEU","West",2017,0.617216905095835,"F",11,11,11,11,11,11,1,2
15923,"W ALEU","W ALEU","West",2017,0.860034464580037,"F",11,11,11,11,11,11,1,11
15924,"W ALEU","W ALEU","West",2017,-0.305489820944132,"F",11,11,11,11,11,11,1,11
15925,"W ALEU","W ALEU","West",2017,0.860034464580037,"F",11,11,11,11,11,11,1,2
15928,"W ALEU","W ALEU","West",2017,0.471526369405314,"F",11,11,11,11,11,11,1,11
15929,"W ALEU","W ALEU","West",2017,-1.08250601129358,"F",11,11,11,11,11,11,1,2
15934,"C ALEU","Other","West",2017,0.617216905095835,"F",11,11,11,11,11,11,1,11
15935,"C ALEU","Other","West",2017,-1.81095868974618,"F",11,11,11,11,11,11,1,2
15940,"C ALEU","Other","West",2017,1.58848714303264,"F",11,11,11,11,11,11,1,2
15941,"C ALEU","Other","West",2017,0.325835833714793,"F",11,11,11,11,11,11,1,11
15944,"C ALEU","Other","West",2017,-1.51957761836514,"F",11,11,11,11,11,11,1,11
15947,"C ALEU","Other","West",2017,1.00572500027056,"F",11,11,11,11,11,11,1,11
15948,"C ALEU","Other","West",2017,1.19997904785792,"F",11,11,11,11,11,11,1,2
15949,"C ALEU","Other","West",2017,0.180145298024271,"F",11,11,11,11,11,11,1,11
15952,"C ALEU","Other","West",2017,-0.596870892325174,"F",11,11,11,11,11,11,1,11
15953,"C ALEU","Other","West",2017,-0.354053332840972,"F",11,11,11,11,11,11,1,11
15955,"C ALEU","Other","West",2017,1.5399236311358,"F",11,11,11,11,11,11,1,11
15956,"C ALEU","Other","West",2017,1.49136011923896,"F",11,11,11,11,11,11,1,11
15957,"C ALEU","Other","West",2017,2.31693982148525,"F",11,11,11,11,11,11,1,11
15959,"C ALEU","Other","West",2017,1.0542885121674,"F",11,11,11,11,11,11,1,11
15960,"C ALEU","Other","West",2017,-0.256926309047291,"F",11,11,11,11,11,11,1,11
15962,"C ALEU","Other","West",2017,1.92843172631053,"F",11,11,11,11,11,11,1,2
15969,"C ALEU","Other","West",2017,1.0542885121674,"F",11,11,11,11,11,11,1,11
15970,"C ALEU","Other","West",2017,1.78274119062,"F",11,11,11,11,11,11,1,2
15971,"C ALEU","Other","West",2017,-0.936815475603056,"F",11,11,11,11,11,11,1,2
15973,"C ALEU","Other","West",2017,1.44279660734212,"F",11,11,11,11,11,11,1,11
15977,"C ALEU","Other","West",2017,1.49136011923896,"F",11,11,11,11,11,11,1,11
15978,"C ALEU","Other","West",2017,1.97699523820736,"F",11,11,11,11,11,11,1,11
