"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6026,"C GULF","Other","East",2000,-0.505180095285222,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6029,"C GULF","Other","East",2000,0.0638181192576803,"M",1,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8
6030,"C GULF","Other","East",2000,-0.505180095285222,"M",1,2,3,4,8,6,8,7,7,7,7,8,7,8,7,7,8,8,8
6031,"C GULF","Other","East",2000,-0.0120483093480397,"M",1,8,8,4,8,6,7,7,7,7,8,8,8,8,8,8,8,8,8
6035,"C GULF","Other","East",2000,0.025884904954821,"M",1,2,3,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6036,"C GULF","Other","East",2000,0.822482405314883,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6038,"C GULF","Other","East",2000,-0.315514023770921,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6039,"C GULF","Other","East",2000,1.12594811973776,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6041,"C GULF","Other","East",2000,1.2776809769492,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6043,"C GULF","Other","East",2000,1.35354740555493,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6044,"C GULF","Other","East",2000,1.39148061985779,"M",1,2,3,4,5,6,7,7,7,7,7,7,7,7,8,8,8,8,8
6045,"C GULF","Other","East",2000,-0.732779381102383,"M",1,2,8,8,8,6,7,7,7,7,7,7,7,7,7,7,7,8,8
6046,"C GULF","Other","East",2000,0.632816333800582,"M",1,2,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8
6049,"C GULF","Other","East",2000,0.0638181192576803,"M",1,2,8,4,8,6,7,7,7,7,7,7,7,7,8,7,7,8,8
6051,"C GULF","Other","East",2000,1.16388133404063,"M",1,2,3,4,8,6,7,7,7,7,7,7,7,8,8,8,8,8,8
6052,"C GULF","Other","East",2000,-2.02250866739963,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6056,"C GULF","Other","East",2000,1.50528026276637,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6059,"C GULF","Other","East",2000,-0.239647595165201,"M",1,8,8,4,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8
6063,"C GULF","Other","East",2000,-1.52937688146245,"M",1,2,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6065,"C GULF","Other","East",2000,-0.846579024010963,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6066,"C GULF","Other","East",2000,-1.377644024251,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6068,"C GULF","Other","East",2000,0.898348833920603,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6071,"C GULF","Other","East",2000,-1.68110973867389,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6072,"C GULF","Other","East",2000,-0.846579024010963,"M",1,2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6073,"C GULF","Other","East",2000,-0.770712595405243,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6074,"C GULF","Other","East",2000,1.16388133404063,"M",1,2,8,4,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8
6075,"C GULF","Other","East",2000,-0.732779381102383,"M",1,2,3,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8
6080,"C GULF","Other","East",2000,-0.846579024010963,"M",1,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8
6082,"C GULF","Other","East",2000,0.556949905194862,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6083,"C GULF","Other","East",2000,-0.12584795225662,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8
6084,"C GULF","Other","East",2000,0.177617762166261,"M",1,2,3,4,8,6,8,7,7,8,8,8,8,8,8,8,8,8,8
6085,"C GULF","Other","East",2000,-0.35344723807378,"M",1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,8,8,8,8
6088,"C GULF","Other","East",2000,-1.15004473843384,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6090,"C GULF","Other","East",2000,-1.07417830982812,"M",1,2,3,8,8,6,7,7,8,8,8,8,7,7,8,7,8,8,8
6091,"C GULF","Other","East",2000,0.291417405074842,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6092,"C GULF","Other","East",2000,-0.732779381102383,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6095,"C GULF","Other","East",2000,-0.884512238313823,"M",1,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8
6097,"C GULF","Other","East",2000,-0.808645809708103,"M",1,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
6098,"C GULF","Other","East",2000,-0.27758080946806,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6099,"C GULF","Other","East",2000,0.025884904954821,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6100,"C GULF","Other","East",2000,1.2776809769492,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
