"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2011","2012","2013","2014","2015","2016","2017","2018"
14508,"W ALEU","W ALEU","West",2011,-1.64317652437103,"M",1,8,8,8,8,8,8,8
14521,"W ALEU","W ALEU","West",2011,0.746615976709163,"M",1,2,3,4,5,6,7,8
14522,"W ALEU","W ALEU","West",2011,0.784549191012024,"M",1,8,8,8,8,8,8,8
14525,"W ALEU","W ALEU","West",2011,-1.45351045285673,"M",1,8,8,8,8,6,7,8
14526,"W ALEU","W ALEU","West",2011,0.481083476589142,"M",1,2,8,8,8,8,8,8
14527,"W ALEU","W ALEU","West",2011,-0.732779381102383,"M",1,2,3,4,5,6,7,7
14529,"W ALEU","W ALEU","West",2011,0.784549191012024,"M",1,2,3,8,8,8,8,8
14533,"W ALEU","W ALEU","West",2011,-0.0120483093480397,"M",1,8,8,8,8,8,8,8
14534,"W ALEU","W ALEU","West",2011,1.01214847682918,"M",1,8,8,8,8,8,8,8
14536,"W ALEU","W ALEU","West",2011,1.42941383416065,"M",1,8,8,8,8,8,8,8
14537,"W ALEU","W ALEU","West",2011,-1.15004473843384,"M",1,2,8,8,8,6,8,8
14538,"W ALEU","W ALEU","West",2011,-1.22591116703956,"M",1,8,8,8,8,8,8,8
14541,"W ALEU","W ALEU","West",2011,0.632816333800582,"M",1,2,3,4,5,6,7,7
14542,"W ALEU","W ALEU","West",2011,-0.581046523890942,"M",1,2,8,8,8,8,8,8
14546,"W ALEU","W ALEU","West",2011,0.746615976709163,"M",1,8,8,8,8,8,8,8
14548,"W ALEU","W ALEU","West",2011,-0.656912952496662,"M",1,8,8,8,8,8,8,8
14549,"W ALEU","W ALEU","West",2011,0.519016690892002,"M",1,2,3,4,8,6,7,8
14550,"W ALEU","W ALEU","West",2011,-0.732779381102383,"M",1,8,8,8,8,8,8,8
14551,"W ALEU","W ALEU","West",2011,-1.41557723855386,"M",1,2,8,8,8,8,8,8
14552,"W ALEU","W ALEU","West",2011,-2.25010795321679,"M",1,8,3,4,5,8,8,8
14553,"W ALEU","W ALEU","West",2011,-0.35344723807378,"M",1,2,3,4,5,6,7,8
