"Site","Year","Complex","RCA","LAT","LON","CH","Region","Rookery","Obs","Reg_no","Pup","Bull","SAM","Female","Juv","NP_tot","NP_sum","diff"
"ADAK/ARGONNE POINT",2010,"ADAK/ARGONNE POINT",4,51.828,-176.907,0,"C ALEU",0,1,10,0,5,0,58,22,85,85,0
"ADAK/ARGONNE POINT",2010,"ADAK/ARGONNE POINT",4,51.828,-176.907,0,"C ALEU",0,2,10,0,3,2,41,38,84,84,0
"ADAK/CAPE KAGIGIKAK",2014,"ADAK/CAPE KAGIGIKAK",4,51.629,-176.7231,0,"C ALEU",0,1,10,4,4,2,13,16,35,35,0
"ADAK/CAPE KAGIGIKAK",2014,"ADAK/CAPE KAGIGIKAK",4,51.629,-176.7231,0,"C ALEU",0,2,10,4,5,0,15,16,36,36,0
"ADAK/CAPE MOFFET",2016,"ADAK/CAPE MOFFET",4,51.972,-176.722,0,"C ALEU",0,1,10,0,0,0,0,13,13,13,0
"ADAK/CAPE MOFFET",2016,"ADAK/CAPE MOFFET",4,51.972,-176.722,0,"C ALEU",0,2,10,0,0,0,0,13,13,13,0
"ADAK/CAPE YAKAK",2008,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,3,25,19,36,83,83,0
"ADAK/CAPE YAKAK",2008,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,10,6,14,24,40,84,84,0
"ADAK/CAPE YAKAK",2009,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,3,1,18,14,36,36,0
"ADAK/CAPE YAKAK",2009,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,2,2,15,17,36,36,0
"ADAK/CAPE YAKAK",2010,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,2,8,8,16,11,43,43,0
"ADAK/CAPE YAKAK",2010,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,2,5,5,12,21,43,43,0
"ADAK/CAPE YAKAK",2011,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,7,10,41,49,107,107,0
"ADAK/CAPE YAKAK",2011,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,7,25,48,28,108,108,0
"ADAK/CAPE YAKAK",2014,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,2,5,7,46,60,60,0
"ADAK/CAPE YAKAK",2014,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,5,2,15,41,63,63,0
"ADAK/CRONE ISLAND",2008,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,1,2,6,42,51,51,0
"ADAK/CRONE ISLAND",2008,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,3,0,13,34,50,50,0
"ADAK/CRONE ISLAND",2010,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,3,1,2,7,15,13,2
"ADAK/CRONE ISLAND",2010,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,2,2,6,3,15,13,2
"ADAK/CRONE ISLAND",2014,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,2,1,7,11,21,21,0
"ADAK/CRONE ISLAND",2014,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,2,1,8,10,21,21,0
"ADAK/LAKE POINT",2008,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,367,62,25,387,65,539,539,0
"ADAK/LAKE POINT",2008,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,318,73,19,387,51,530,530,0
"ADAK/LAKE POINT",2009,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,337,70,28,376,80,554,554,0
"ADAK/LAKE POINT",2009,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,340,73,34,366,90,563,563,0
"ADAK/LAKE POINT",2010,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,323,115,77,450,22,664,664,0
"ADAK/LAKE POINT",2010,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,314,90,107,397,86,680,680,0
"ADAK/LAKE POINT",2011,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,314,84,63,445,70,662,662,0
