"AnimalID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6025,2,4,1,1,4,3,2,1,1,2,1,2,2,1,1,1,1,1,1
6027,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6028,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
6032,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6033,2,4,4,4,4,1,4,4,2,2,2,1,1,2,2,3,1,4,1
6034,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6037,1,4,4,4,1,3,2,3,3,3,3,3,3,3,3,3,3,3,4
6040,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6042,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6047,2,1,1,2,4,2,2,1,2,4,4,4,4,4,4,4,4,4,4
6048,2,4,1,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4
6050,2,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4
6053,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6054,2,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6055,2,4,4,1,2,3,4,3,3,3,3,4,2,3,1,4,4,4,4
6057,2,1,1,1,4,1,4,4,2,3,1,2,2,2,2,1,1,1,1
6058,2,2,3,3,3,3,3,3,3,3,2,3,3,4,4,4,4,4,4
6060,2,4,1,1,1,1,2,3,1,3,3,3,3,3,3,3,3,4,4
6061,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6062,1,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4
6064,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6067,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6069,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6070,2,4,1,1,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4
6076,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6077,3,2,3,2,4,1,1,3,3,4,3,3,1,3,3,3,4,4,1
6078,1,1,2,4,2,3,2,3,3,3,3,3,4,4,4,4,4,4,4
6079,2,4,4,4,4,1,1,4,3,1,3,3,3,3,3,3,4,4,4
6081,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6086,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6087,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6089,3,1,4,1,1,4,2,3,3,4,3,4,3,3,3,3,4,3,1
6093,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6094,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6096,2,1,1,4,1,1,1,4,1,4,1,4,4,4,4,4,4,4,4
6103,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6104,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6106,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6107,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6110,2,4,4,2,4,3,3,3,1,1,3,3,3,3,3,3,3,4,4
6119,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6120,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6123,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6124,3,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
6125,2,4,1,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,2
6126,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6127,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4
6131,2,2,2,1,2,3,2,3,2,3,3,3,3,3,3,3,4,4,4
6136,1,4,4,4,4,1,4,1,2,1,1,2,1,1,2,1,4,1,2
6138,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6139,1,4,4,4,4,4,4,4,1,2,1,4,2,1,4,4,4,4,4
6140,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6141,1,4,4,4,2,1,4,1,2,2,2,2,4,4,4,4,4,4,4
6142,1,4,4,1,1,1,1,4,1,4,1,4,4,4,4,4,4,4,4
6144,1,4,1,1,4,4,4,1,2,4,1,1,4,4,4,4,4,4,4
6148,1,4,4,4,1,4,4,4,2,2,2,2,2,2,2,2,1,4,4
6149,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6150,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6155,1,4,4,1,4,1,1,4,2,1,1,2,2,1,1,2,1,1,2
