"adj_year","PDO_NB","PDO_fall","PDO_spring","PDO_summer","PDO_winter","upwell_NB","upwell_fall","upwell_spring","upwell_summer","upwell_winter","AOI_NB","AOI_fall","AOI_spring","AOI_summer","AOI_winter","MEI_NB","MEI_fall","MEI_spring","MEI_summer","MEI_winter","NPGO_NB","NPGO_fall","NPGO_spring","NPGO_summer","NPGO_winter","NOI_NB","NOI_fall","NOI_spring","NOI_summer","NOI_winter","NPI_NB","NPI_fall","NPI_spring","NPI_summer","NPI_winter","sst_NB","sst_fall","sst_spring","sst_summer","sst_winter","chla_NB","chla_fall","chla_spring","chla_summer","chla_winter","so_NB","so_fall","so_spring","so_summer","so_winter","ssh_NB","ssh_fall","ssh_spring","ssh_summer","ssh_winter","temp_NB","temp_fall","temp_spring","temp_summer","temp_winter","vwnd_NB","vwnd_fall","vwnd_spring","vwnd_summer","vwnd_winter","uwnd_NB","uwnd_fall","uwnd_spring","uwnd_summer","uwnd_winter","mld_NB","mld_fall","mld_spring","mld_summer","mld_winter","ref_year"
1,-0.684444444444444,-0.89,-1.165,-1.35,0.13,0.289049344151116,0.145289875292354,-0.140846759839989,-0.315016885572719,0.933202348845183,-0.570111111111111,-1.20433333333333,0.679,0.119,-1.09033333333333,-0.409888888888889,-0.795,0.167,-0.23325,-0.415666666666667,2.18027777777778,1.95926666666667,2.0789,1.622425,2.73556666666667,1.427,2.55233333333333,0.801,-0.00274999999999997,1.39133333333333,-0.504135822754994,-0.945651666686055,0.723232965485024,0.783765391126486,-1.11084295909078,4.5521820833529,NA,0.944950973870708,NA,8.1594131928351,0.552433884719051,0.563119524205375,0.751083720115639,0.605110417079653,0.332182211888738,32.9398854669887,32.8606243961353,33.0074972826087,32.8374891304348,33.0354057971014,0.154148752012882,0.185009661835749,0.13091213768116,0.221033514492753,0.110015096618357,4.4538192431562,5.6691902173913,3.01046105072464,7.99430072463768,2.38747826086957,0.00516364734299517,0.00814492753623189,0.00271105072463768,0.00943523550724638,0.00278804347826087,-0.00794504830917874,-0.00403502415458937,-0.011875,-0.00752898550724638,-0.00964432367149759,47.8571457326891,43.8594806763284,41.308242753623,16.8527626811593,66.1388285024154,"00-01"
2,-1.30222222222222,-1.34333333333333,-1.4,-1.895,-0.92,0.360929078580497,0.0457640891593654,-0.0786431435068707,-0.321237247206031,1.19860444519982,0.47,0.0686666666666666,0.5745,-0.058075,1.194,0.116777777777778,-0.204666666666667,0.909,0.04475,0.041,1.64208888888889,1.64863333333333,1,1.91445,1.97996666666667,0.410666666666667,-1.01566666666667,0.0495,0.28025,2.48466666666667,-0.173501805232587,-0.778197479864827,0.86013807768347,0.773582366252225,-0.401048410447624,5.9088079021933,1.38740066233914,1.21515803398757,3.53966344687695,16.0148222509739,0.46846135690731,0.552795599175273,0.473269983726366,0.636782063539573,0.363720472594389,32.9621294283414,32.8828315217391,33.0679166666666,32.8367658514493,33.0341986714976,0.164312399355878,0.165794685990338,0.170897644927537,0.181708333333333,0.144929951690821,4.39768639291465,5.53787983091788,3.30394202898551,7.35786367753623,2.43842330917874,0.0203200483091787,0.0268580917874396,0.0122454710144927,0.0175507246376812,0.0190175120772947,0.00119283413848631,0.00675301932367149,-0.00162047101449275,-0.00803668478260871,-0.000814613526570047,51.1367753623187,47.467149758454,41.2042572463767,18.9525815217389,70.7630434782608,"01-02"
3,0.711111111111111,0.806666666666667,0.19,-0.6925,1.32666666666667,0.344341447558332,0.709269330045958,-0.240372545972978,-0.190609652906483,0.518511573291063,-0.346855555555556,-1.50333333333333,0.421,0.157325,0.196333333333333,0.637333333333333,0.749666666666667,0.1605,0.8935,0.729,1.37968888888889,1.70643333333333,1.0105,1.155975,1.48416666666667,-1.89633333333333,-2.59966666666667,-1.695,-1.11775,-1.05333333333333,-0.825215397185499,-1.48874632664682,0.589722194911342,0.616876927909381,-1.52721553172736,4.62960700025627,5.18000415994001,3.34533898446519,4.6825302406176,3.74062499403954,0.605298248249401,0.851592502044523,0.553554466553526,0.669689046179418,0.399956910389279,33.0329315619968,32.9777971014493,33.0573541666667,32.9531308876812,33.1178309178744,0.156699275362319,0.166587560386473,0.141084239130434,0.2284375,0.130656400966184,4.91198973429952,5.85014673913044,3.72729619565218,8.19392663043478,3.15811775362319,0.00585446859903382,3.92512077294692e-05,0.0165869565217391,0.00659556159420288,0.00829951690821256,-0.00746235909822866,-0.00513345410628019,-0.00557155797101449,-0.0016929347826087,-0.0134746376811594,53.8346417069242,47.3513285024153,41.3593297101448,19.4015851449273,78.6844806763284,"02-03"
4,-0.127777777777778,-0.02,0.015,-0.115,-0.22,-0.0814077486772315,0.443867233691321,-0.327457608839343,-0.383440863539149,-0.244519453728519,-0.300144444444444,0.079,-0.25165,0.040075,-0.967333333333333,0.466777777777778,0.713,0.4365,0.36075,0.230666666666667,0.434877777777778,0.465666666666667,0.1663,0.9079,0.438366666666667,0.255888888888889,-0.661,0.8035,-0.84825,1.411,-0.478992551460514,-0.336178770507865,0.176743963899504,0.633848636033159,-1.26849127010717,5.09858639349269,6.47959834181873,3.28901516813221,7.95487114774166,4.06875011821588,0.655029763360675,0.614035476322348,1.00410146430472,0.722895655104304,0.378802229277276,32.9729545088567,32.892586352657,33.0275951086956,32.8111349637681,33.1010585748792,0.166963566827697,0.199575483091788,0.137221920289855,0.214181612318841,0.133754830917874,5.16969444444444,6.33945289855072,3.88309873188406,8.66937228260869,3.19545410628019,0.00573168276972626,0.000804951690821255,0.00955525362318842,0.00897282608695651,0.009506038647343,-0.0150485104669887,-0.0101950483091788,-0.0187518115942029,-0.00861231884057971,-0.0194371980676328,55.6546698872785,50.7522946859902,46.3923007246376,15.8215126811592,78.6321859903381,"03-04"
5,-0.101111111111111,-0.913333333333333,0.635,-0.22,0.243333333333333,0.0927623770554991,0.676094068001628,-0.62603496723831,-0.308796523939407,0.0789393512036951,-0.0916888888888889,0.464333333333333,-0.4046,-0.0755,-0.754666666666667,0.697222222222222,0.603333333333333,0.737,0.5595,0.833,-0.902533333333333,-0.461366666666667,-1.23755,0.562475,-1.54666666666667,-0.753111111111111,0.790666666666667,-1.0905,-0.15175,-2.54766666666667,-0.45636360729548,-0.368613590477749,0.0828338456146303,0.62027126953414,-1.30846907146539,4.42158021741561,5.28688682734387,3.10156248013178,7.78764786390994,3.19498441054343,0.634551380299003,0.747554306272271,0.56731561348317,0.775604475613942,0.362591437993747,32.9186312399356,32.9147759661836,32.8958550724638,32.8162608695653,32.9962240338164,0.176238526570048,0.197634661835749,0.15388134057971,0.218685235507247,0.151420893719807,4.85855434782609,5.57596739130435,3.8585661231884,8.56342391304348,3.10920229468599,0.0109231078904992,0.0126503623188406,0.00999999999999999,0.00371014492753624,0.0140978260869565,-0.0110150966183575,-0.00787983091787439,-0.0105652173913044,-0.0166096014492754,-0.0144824879227053,42.7625805152978,45.7926932367149,29.9203804347824,17.1947916666665,55.9570652173912,"04-05"
6,-0.655555555555556,-1.33,-0.5,-0.34,0.0666666666666667,-0.598388915534702,-1.24807113056949,-0.339898332105967,-0.227931822706354,-0.319163793328261,-0.296911111111111,-0.614066666666667,0.147,0.103725,-0.642,-0.191555555555556,-0.203333333333333,0.2855,0.24475,-0.502,-0.943111111111111,-1.26743333333333,-0.3439,-1.412475,-0.808433333333333,1.29811111111111,1.206,-0.773,0.85425,2.09,-0.043008227214236,-0.858907380720102,0.7730166426481,0.693249614466365,-0.0487911796119667,4.92672838893988,5.57069071886658,4.25708333651225,7.73364232526219,2.75833339161343,0.62246717636852,0.819985840379932,0.600196967571176,0.746851355998845,0.404839303793386,32.8957067230274,32.8174571256039,32.9872798913044,32.71521875,33.0076938405797,0.218431360708535,0.226235507246377,0.211111413043478,0.22946875,0.205592995169082,5.02812037037037,6.30119685990338,3.38459148550724,8.60336005434784,3.25039855072464,0.0169277375201288,0.0187638888888889,0.0154447463768116,0.0232119565217392,0.0142940821256039,-0.0100328099838969,-0.00870410628019321,-0.00571195652173913,-0.0131865942028986,-0.014393115942029,49.6954911433171,43.5792874396134,50.468206521739,17.0245923913042,65.2666666666665,"05-06"
7,-0.791111111111111,-0.656666666666667,-0.545,-0.7,-0.77,-1.06560718932568,-1.42224125630222,-1.03657883503689,-0.190609652906483,-1.0075504807481,0.635,0.590333333333333,0.719,0.3785,0.633333333333333,0.403222222222222,0.603,0.0965,0.80075,0.229333333333333,-0.298522222222222,-0.733533333333333,0.4761,-0.333175,-0.366233333333333,2.494,0.836,1.994,-0.24,5.12366666666667,-0.247925888264247,-0.293938074733143,0.0228671435772994,0.868058208141236,-0.628092150236783,3.79949970939959,4.95476396593859,2.56360768307785,7.97284290158512,2.03269840019318,0.582122624093951,0.751294075181536,0.425009717270976,0.685266114768042,0.440013350844487,32.9069466586151,32.8102342995169,33.0122635869565,32.6885240036232,33.0202403381643,0.250397342995169,0.275880434782608,0.226673913043478,0.281973278985507,0.220631038647343,5.21440338164251,6.61977234299517,3.6948795289855,8.68382427536232,3.17978623188406,0.0135189210950081,0.00760507246376812,0.022909420289855,0.015169384057971,0.0133333333333334,-0.00144685990338164,0.00258635265700483,-0.00539583333333333,-0.00193297101449275,-0.00406461352657005,53.9126207729467,40.2504830917873,50.2362318840578,15.2447010869564,82.4325483091786,"06-07"
8,-1.50777777777778,-1.51333333333333,-1.965,-0.35,-1.35333333333333,-0.479510893209187,-0.136699852084448,-0.17816892963986,-0.240372545972978,-1.16513297545867,0.172444444444444,0.228333333333333,-0.8275,-0.201675,0.781,-0.727666666666667,-0.449333333333333,-0.1015,-0.776,-1.26033333333333,1.06253333333333,0.8183,1.56685,1.202675,1.02173333333333,3.85077777777778,4.379,2.494,0.36575,5.051,-0.181296219333874,-0.474215329914562,0.808091506103893,0.597642325369103,-0.708802051092049,3.33849178393446,3.95145188617352,2.40274885705873,4.83714056243688,2.2858038348194,0.680976180733119,0.690549247344457,1.03630029748015,0.608555695929142,0.398683727237775,32.9615154991949,32.8990036231884,32.9944528985507,32.8107418478261,33.0620356280193,0.214159822866345,0.253934178743962,0.183045289855073,0.283405797101449,0.168182367149758,4.52410648148148,5.38696920289855,3.60925634057971,8.62563632246377,2.73877173913043,0.00104528985507246,-0.00291847826086957,0.0110679347826087,0.0167382246376812,-0.00432185990338164,-0.00413848631239936,-0.000923309178743962,-0.01075,-0.00624773550724637,-0.00298973429951691,54.4386473429951,54.9332125603863,36.7642210144926,17.2308423913042,76.0492149758453,"07-08"
9,-1.76888888888889,-1.56,-1.865,-2.075,-1.83,-0.142229062425169,-0.319163793328261,-0.203050376173107,-0.358559417005902,0.211640399381014,0.500577777777778,0.806733333333333,1.0815,-0.244325,0.083,-0.373666666666667,-0.746666666666667,0.5385,-0.365,-0.500333333333333,1.03801111111111,1.39466666666667,0.485,1.7692,0.653666666666667,2.58288888888889,2.98033333333333,2.1175,-0.4115,3.38833333333333,0.385684548356638,0.240105007561599,0.761702170565581,0.676843629946719,0.304220349362524,3.3908544681097,4.60120259502292,2.28886440393012,7.06356417883019,1.4341126489392,0.714704256624455,0.946579303044015,0.464022285212138,1.23835131367852,0.396997245627236,32.9068198470209,32.8285857487923,32.9537309782609,32.7722355072464,33.0255132850242,0.239316223832528,0.255118961352657,0.232642210144928,0.234761322463768,0.223869565217391,5.25103884863124,6.43205615942029,3.44794746376812,9.52058559782609,3.27782789855073,0.00924476650563607,0.0169619565217391,-0.00047554347826087,0.0144030797101449,0.00717210144927535,-0.0129796698872786,-0.0136388888888889,-0.0102436594202898,-0.0157327898550725,-0.0132361111111111,51.3189009661834,45.7515096618356,45.2762681159419,13.5923007246375,73.2903381642511,"08-09"
10,-0.242222222222222,-0.586666666666667,-0.31,-0.51,0.00333333333333334,0.172935926995962,0.775619854134617,-0.0537616969736235,-0.315016885572719,-0.0122926194182114,-1.34466666666667,-1.497,-0.597,-0.472175,-2.43066666666667,0.747888888888889,0.484,0.215,0.925,1.322,1.42881111111111,1.0907,1.5224,0.65805,1.85263333333333,-1.58044444444444,-0.944,0.8735,-0.2555,-4.853,-0.630355044653278,-0.792529144502668,0.709655598986017,0.476011750482059,-1.64790323394088,2.79637422370967,3.8542309021274,1.54101115827936,4.93161717576951,1.37546448209201,0.617200077512783,0.781319019363349,0.578089346580418,1.14375370553915,0.499555956692943,32.938644726248,32.8710827294686,33.0034447463768,32.7920176630435,33.0418713768116,0.209532004830918,0.243349033816425,0.182231884057971,0.271788043478261,0.166373188405797,4.64086956521739,5.63458756038648,3.27760507246377,8.02224773550724,3.12774456521739,0.00745249597423511,0.00425724637681159,0.0115326086956522,0.00385190217391305,0.0105688405797102,-0.0136060789049919,-0.00988949275362318,-0.0114266304347826,-0.0136218297101449,-0.0186455314009662,58.8008454106279,48.3229468599032,57.5498188405795,17.848822463768,82.186533816425,"09-10"
