"adj_year","PDO_NB","PDO_fall","PDO_spring","PDO_summer","PDO_winter","ALBSA_NB","ALBSA_fall","ALBSA_spring","ALBSA_summer","ALBSA_winter","upwell_NB","upwell_fall","upwell_spring","upwell_summer","upwell_winter","AOI_NB","AOI_fall","AOI_spring","AOI_summer","AOI_winter","MEI_NB","MEI_fall","MEI_spring","MEI_summer","MEI_winter","NPGO_NB","NPGO_fall","NPGO_spring","NPGO_summer","NPGO_winter","NOI_NB","NOI_fall","NOI_spring","NOI_summer","NOI_winter","NPI_NB","NPI_fall","NPI_spring","NPI_summer","NPI_winter","sst_NB","sst_fall","sst_spring","sst_summer","sst_winter","chla_NB","chla_fall","chla_spring","chla_summer","chla_winter","vwnd_NB","vwnd_fall","vwnd_spring","vwnd_summer","vwnd_winter","uwnd_NB","uwnd_fall","uwnd_spring","uwnd_summer","uwnd_winter","scalar_NB","scalar_fall","scalar_spring","scalar_summer","scalar_winter","curl_NB","curl_fall","curl_spring","curl_summer","curl_winter","prod_NB","prod_fall","prod_spring","prod_summer","prod_winter","ref_year"
1,-0.684444444444444,-0.89,-1.165,-1.35,0.13,-25.7195555555556,-54.9933333333333,-1.9985,95.66125,-49.144,0.289049344151116,0.145289875292354,-0.140846759839989,-0.315016885572719,0.933202348845183,-0.570111111111111,-1.20433333333333,0.679,0.119,-1.09033333333333,-0.409888888888889,-0.795,0.167,-0.23325,-0.415666666666667,2.18027777777778,1.95926666666667,2.0789,1.622425,2.73556666666667,1.427,2.55233333333333,0.801,-0.00274999999999997,1.39133333333333,-0.504135822754994,-0.945651666686055,0.723232965485024,0.783765391126486,-1.11084295909078,NA,NA,NA,NA,NA,0.465464774280673,0.437043839318034,0.597324124198857,0.527498785142306,0.341654558497171,-0.794504217387401,-0.838917680492158,-0.0994514414286685,0.678680893394075,-1.72146563639953,1.22237579809642,2.79849743080281,1.11697788174275,0.952871482686275,-0.0859440372931587,11.2651851757494,11.6385714061677,9.48261904148828,9.11797617503574,12.3401587350028,0.108260221716288,0.256200318396117,0.007603203851821,0.0178860395831613,0.0677308841975264,239.44740150746,277.340860864205,174.928473045227,476.758432489497,51.1700690089045,"00-01"
2,-1.30222222222222,-1.34333333333333,-1.4,-1.895,-0.92,-1.808,-77.9583333333333,115.8015,97.84,-10.189,0.360929078580497,0.0457640891593654,-0.0786431435068707,-0.321237247206031,1.19860444519982,0.47,0.0686666666666666,0.5745,-0.058075,1.194,0.116777777777778,-0.204666666666667,0.909,0.04475,0.041,1.64208888888889,1.64863333333333,1,1.91445,1.97996666666667,0.410666666666667,-1.01566666666667,0.0495,0.28025,2.48466666666667,-0.173501805232587,-0.778197479864827,0.86013807768347,0.773582366252225,-0.401048410447624,NA,NA,NA,NA,NA,0.410198143857278,0.463724343867404,0.411983698586746,0.574807917991347,0.31312807235848,-0.256788938870487,-0.933583595464746,1.52485342504501,1.47360150048154,-1.08380954464277,1.70769676032092,2.08039233942575,0.523848661254824,1.71612194164412,1.02215746197376,11.4404232514598,12.0950793160332,9.46619046302069,9.73059523105622,12.1947618968903,0.097179087954313,0.216170185448376,0.066052181682261,0.0314295349990494,0.0546523507319285,190.204798208101,276.791443770416,126.113422132031,429.21252624932,57.399705483387,"01-02"
3,0.711111111111111,0.806666666666667,0.19,-0.6925,1.32666666666667,-39.444,-106.283,63.25,76.493,-102.315666666667,0.344341447558332,0.709269330045958,-0.240372545972978,-0.190609652906483,0.518511573291063,-0.346855555555556,-1.50333333333333,0.421,0.157325,0.196333333333333,0.637333333333333,0.749666666666667,0.1605,0.8935,0.729,1.37968888888889,1.70643333333333,1.0105,1.155975,1.48416666666667,-1.89633333333333,-2.59966666666667,-1.695,-1.11775,-1.05333333333333,-0.825215397185499,-1.48874632664682,0.589722194911342,0.616876927909381,-1.52721553172736,NA,NA,NA,NA,NA,0.511739813514501,0.576873608868002,0.53805461801821,0.603340961619361,0.381707138575896,-0.789418273373809,-1.69564507608967,1.32668467495768,-0.472997390698374,-1.9996884782163,0.911063191372527,2.18312689962072,3.87115696853115,0.161270542219948,-3.38618986320401,11.1734391236431,11.1626824848236,11.0078571637472,8.59893449857123,11.305563460456,0.10293522922069,0.198737420318168,0.0804582967155599,0.00404812600005419,0.051227208513511,315.012807472646,351.416671709998,512.426956785619,495.023805545617,150.359649451789,"02-03"
4,-0.127777777777778,-0.02,0.015,-0.115,-0.22,-12.6066666666667,66.0316666666667,15.1145,58.35875,-108.717,-0.0814077486772315,0.443867233691321,-0.327457608839343,-0.383440863539149,-0.244519453728519,-0.300144444444444,0.079,-0.25165,0.040075,-0.967333333333333,0.466777777777778,0.713,0.4365,0.36075,0.230666666666667,0.434877777777778,0.465666666666667,0.1663,0.9079,0.438366666666667,0.255888888888889,-0.661,0.8035,-0.84825,1.411,-0.478992551460514,-0.336178770507865,0.176743963899504,0.633848636033159,-1.26849127010717,NA,NA,NA,NA,NA,0.499245325511956,0.480522389995253,0.686309907576706,0.630413820477303,0.336968308664652,-0.0405563952181996,1.15197685904919,0.485127451014705,-0.222734965999346,-0.928135927485686,0.916000078710673,4.02761081569193,1.61212012961152,0.851363698153621,-1.99097254266223,11.6651084869627,12.2149206191774,11.1298928397043,8.19354167949586,12.2084127759177,0.173183064227507,0.142614122311537,0.154444346824589,0.03500116596981,0.246117752237571,340.658110782689,440.768126024636,463.71563886534,748.118747000798,154.305180941421,"03-04"
5,-0.101111111111111,-0.913333333333333,0.635,-0.22,0.243333333333333,-16.8573333333333,32.3316666666667,-95.531,71.02625,-45.8163333333333,0.0927623770554991,0.676094068001628,-0.62603496723831,-0.308796523939407,0.0789393512036951,-0.0916888888888889,0.464333333333333,-0.4046,-0.0755,-0.754666666666667,0.697222222222222,0.603333333333333,0.737,0.5595,0.833,-0.902533333333333,-0.461366666666667,-1.23755,0.562475,-1.54666666666667,-0.753111111111111,0.790666666666667,-1.0905,-0.15175,-2.54766666666667,-0.45636360729548,-0.368613590477749,0.0828338456146303,0.62027126953414,-1.30846907146539,NA,NA,NA,NA,NA,0.502204378884898,0.486603777199373,0.558462658613502,0.629617713991899,0.353682474933807,-0.959462762154915,-0.201274687025164,-2.39351494523829,0.854770234664014,-1.49920167413259,1.21946327553116,4.12498138261781,-1.24304941003876,1.23968241940574,-0.844189189655323,11.6532804297392,13.4980952172052,10.2316667352404,8.37218327939062,11.499047612387,0.155733639276083,0.0990515122169792,0.109569353103238,0.0885097514172749,0.243384814540309,367.536502788031,442.874940958834,503.997826395965,760.577223067619,158.116306801246,"04-05"
6,-0.655555555555556,-1.33,-0.5,-0.34,0.0666666666666667,2.69033333333333,-99.1593333333333,10.942,64.27375,61.3133333333333,-0.598388915534702,-1.24807113056949,-0.339898332105967,-0.227931822706354,-0.319163793328261,-0.296911111111111,-0.614066666666667,0.147,0.103725,-0.642,-0.191555555555556,-0.203333333333333,0.2855,0.24475,-0.502,-0.943111111111111,-1.26743333333333,-0.3439,-1.412475,-0.808433333333333,1.29811111111111,1.206,-0.773,0.85425,2.09,-0.043008227214236,-0.858907380720102,0.7730166426481,0.693249614466365,-0.0487911796119667,2.85448559724877,NA,3.13278481323386,NA,2.66895278659204,0.52006086274725,0.617284680781514,0.53033279201238,0.5969700866589,0.354718758420743,-0.480692756262474,-1.88940662926891,-0.257486707841357,1.15443447805315,0.168994053725211,1.69173984322697,0.724138796950377,1.29631480439344,1.98380957388907,1.45921202973714,11.5735979029741,12.0207936423166,10.1945237886338,8.4398809841701,12.3809524339343,0.0859390630589035,0.149195313630261,0.0242303693053795,0.0479666460386874,0.0777734352418016,540.335102197901,528.302282339947,1235.54720151919,743.458762421311,157.928425093003,"05-06"
7,-0.791111111111111,-0.656666666666667,-0.545,-0.7,-0.77,-24.9352222222222,-12.0676666666667,-92.04,54.274,-4.51133333333333,-1.06560718932568,-1.42224125630222,-1.03657883503689,-0.190609652906483,-1.0075504807481,0.635,0.590333333333333,0.719,0.3785,0.633333333333333,0.403222222222222,0.603,0.0965,0.80075,0.229333333333333,-0.298522222222222,-0.733533333333333,0.4761,-0.333175,-0.366233333333333,2.494,0.836,1.994,-0.24,5.12366666666667,-0.247925888264247,-0.293938074733143,0.0228671435772994,0.868058208141236,-0.628092150236783,5.04002979361155,5.69535513687372,5.90944733428341,8.61837692786652,2.35270137291233,0.533061531402789,0.613502578603714,0.433077107043048,0.612132467316182,0.454620952670018,-0.551624469723301,-0.779843656523599,-1.38165504030795,0.888317502552777,0.0394939798991119,0.565101303012362,2.81086237419633,-0.529259796631301,1.54843450408606,-1.60057623645971,10.4087301587302,10.2287301033262,8.71214291027614,8.07166666360128,11.9325397355216,0.0647225892883845,0.0288095265748864,0.0481921713958618,0.00719993563838477,0.147251830260742,381.299001578943,467.043696541689,561.410938833018,762.164507149676,168.414873337472,"06-07"
8,-1.50777777777778,-1.51333333333333,-1.965,-0.35,-1.35333333333333,-17.5003333333333,-43.175,-2.785,63.10925,-41.5803333333333,-0.479510893209187,-0.136699852084448,-0.17816892963986,-0.240372545972978,-1.16513297545867,0.172444444444444,0.228333333333333,-0.8275,-0.201675,0.781,-0.727666666666667,-0.449333333333333,-0.1015,-0.776,-1.26033333333333,1.06253333333333,0.8183,1.56685,1.202675,1.02173333333333,3.85077777777778,4.379,2.494,0.36575,5.051,-0.181296219333874,-0.474215329914562,0.808091506103893,0.597642325369103,-0.708802051092049,4.20247282147199,4.67821640571877,2.79130038245073,8.14117121789303,2.17356822517235,0.55266964389775,0.571926116804693,0.761968471982896,0.614058179975525,0.376039361222132,-0.50426253412786,-0.604781642245748,-1.11338684051519,1.66367518874107,-0.761858240952567,1.40467096068872,4.03483112582138,0.068742037351645,2.08806084664095,-1.99122360928191,10.9818359714337,11.5986110834848,8.84976192883082,8.52910773347046,11.5597539788201,0.158523952216602,0.144145134286003,0.0516694575690919,0.056291440153256,0.209502535161565,565.34480778774,434.664569353698,950.937624731721,726.179202826736,266.123302815878,"07-08"
9,-1.76888888888889,-1.56,-1.865,-2.075,-1.83,42.2123333333333,3.85433333333333,103.4885,26.93625,49.657,-0.142229062425169,-0.319163793328261,-0.203050376173107,-0.358559417005902,0.211640399381014,0.500577777777778,0.806733333333333,1.0815,-0.244325,0.083,-0.373666666666667,-0.746666666666667,0.5385,-0.365,-0.500333333333333,1.03801111111111,1.39466666666667,0.485,1.7692,0.653666666666667,2.58288888888889,2.98033333333333,2.1175,-0.4115,3.38833333333333,0.385684548356638,0.240105007561599,0.761702170565581,0.676843629946719,0.304220349362524,2.29060095689655,NA,2.29060095689655,NA,NA,0.584973967480261,0.678557112959306,0.509184799300283,0.810075431871474,0.374666949095735,-0.363473310056462,-1.48724641961356,1.40259941206092,0.657532931463461,-1.0390258814016,0.273242352108432,1.45985291465112,-0.558981745137964,0.990620470583616,-0.614051407219708,11.4038306859568,12.9577777574933,9.09009522937592,7.75744639606703,12.1409524214098,0.0583223555633316,-0.0571415585530028,0.106245011947024,0.0110109885538675,0.171330248945095,727.476539332852,880.477611130655,1562.23068627683,1132.55370223125,180.000701968089,"08-09"
10,-0.242222222222222,-0.586666666666667,-0.31,-0.51,0.00333333333333334,-88.7454444444444,-68.7383333333333,-64.657,10.06625,-134.026666666667,0.172935926995962,0.775619854134617,-0.0537616969736235,-0.315016885572719,-0.0122926194182114,-1.34466666666667,-1.497,-0.597,-0.472175,-2.43066666666667,0.747888888888889,0.484,0.215,0.925,1.322,1.42881111111111,1.0907,1.5224,0.65805,1.85263333333333,-1.58044444444444,-0.944,0.8735,-0.2555,-4.853,-0.630355044653278,-0.792529144502668,0.709655598986017,0.476011750482059,-1.64790323394088,4.6080001221384,8.00641856807817,3.2676198538832,7.55842713660526,2.85626079816015,0.517011925091692,0.49629773564962,0.65573552102778,0.929478070103151,0.415895362927648,-1.57046754468015,-1.18195100477527,-1.62018724503217,-0.107269628322684,-2.12081280091245,1.23415712680835,3.34943932715419,1.50482018540303,1.66805973900704,-0.993172043993597,10.7388650135422,10.656333287557,9.40467832799542,8.92721428587324,11.9153968114701,0.138702010256426,0.243034393059104,0.0622870767360185,0.048280273997794,0.106312628195386,356.853766034162,392.512390123752,411.076728993827,776.651329152023,184.77834428414,"09-10"
