Complex,Site,RCA,CH_93,CH_93H,CH_15,CH_15H,LAT,LON,Region,Reg_no,Rookery
WEST ROCK,WEST ROCK,11,,,,,54.813,-131.495,SE AK,5,0
POINT MARSH,POINT MARSH,11,,,,,54.71,-132.285,SE AK,5,0
POINT ISLET (POINT ROCK),POINT ISLET (POINT ROCK),11,,,,,55.153,-132.638,SE AK,5,0
FORRESTER,FORRESTER/FORRESTER ISLAND,11,1,,,,54.838,-133.527,SE AK,5,1
FORRESTER,FORRESTER/SEA LION RK,11,1,,,,54.843,-133.535,SE AK,5,1
FORRESTER,FORRESTER/C HORN RK,11,1,,,,54.847,-133.55,SE AK,5,1
FORRESTER,FORRESTER/NORTH RK,11,1,,,,54.873,-133.562,SE AK,5,1
FORRESTER,FORRESTER/EAST RK,11,1,,,,54.8613,-133.5263,SE AK,5,1
WOLF ROCK,WOLF ROCK,11,,,,,55.02,-133.487,SE AK,5,0
SAKIE POINT,SAKIE POINT,11,,,,,55.055,-133.237,SE AK,5,0
CAPE BARTOLOME,CAPE BARTOLOME,11,,,,,55.23,-133.617,SE AK,5,0
CAPE ADDINGTON,CAPE ADDINGTON,11,,1,,,55.438,-133.822,SE AK,5,0
TIMBERED,TIMBERED,11,,1,,,55.697,-133.795,SE AK,5,0
CORONATION,CORONATION,11,,1,,,55.928,-134.283,SE AK,5,0
GRINDALL,GRINDALL,11,,,,,55.44,-132.108,SE AK,5,0
EASTERLY,EASTERLY,11,,,,,55.895,-132.088,SE AK,5,0
ETOLIN,ETOLIN,11,,,,,56.337,-132.532,SE AK,5,0
CAPE OMMANEY,CAPE OMMANEY,11,,1,,1,56.172,-134.71,SE AK,5,0
LARCH BAY,LARCH BAY,11,,,,,56.21,-134.737,SE AK,5,0
SEA LION ROCK (PUFFIN BAY),SEA LION ROCK (PUFFIN BAY),11,,,,,56.252,-134.832,SE AK,5,0
BIALI ROCK,BIALI ROCK,11,,1,,1,56.712,-135.342,SE AK,5,1
JACOB ROCK,JACOB ROCK,11,,,,,56.788,-135.497,SE AK,5,0
KAIUCHALI (BIORKA),KAIUCHALI (BIORKA),11,,1,,1,56.833,-135.563,SE AK,5,0
ST. LAZARIA,ST. LAZARIA,11,,,,,56.987,-135.705,SE AK,5,0
PATTERSON POINT,PATTERSON POINT,11,,,,,56.54,-134.637,SE AK,5,0
YASHA,YASHA,11,,,,1,56.963,-134.558,SE AK,5,0
LIBBY ISLAND,LIBBY ISLAND,11,,,,,58.27146667,-136.7916667,SE AK,5,0
HORN CLIFF,HORN CLIFF,11,,,,,56.845,-132.787,SE AK,5,0
SUKOI ISLETS,SUKOI ISLETS,11,,,,,56.89194,-132.92306,SE AK,5,0
PINTA ROCKS,PINTA ROCKS,11,,,,,57.087,-134.012,SE AK,5,0
TURNABOUT,TURNABOUT,11,,,,,57.13,-133.972,SE AK,5,0
ROUND ROCK,ROUND ROCK,11,,,,,57.259506,-133.936457,SE AK,5,0
THE BROTHERS,THE BROTHERS/W+E,11,,,,1,57.3,-133.833,SE AK,5,0
THE BROTHERS,THE BROTHERS/SW,11,,,,1,57.272,-133.873,SE AK,5,0
SAIL,SAIL,11,,,,1,57.352,-133.722,SE AK,5,0
FALSE POINT PYBUS,FALSE POINT PYBUS,11,,,,,57.367,-133.86,SE AK,5,0
SUNSET,SUNSET,11,,1,,1,57.5,-133.588,SE AK,5,0
POINT LEAGUE (STEVENS PASSAGE),POINT LEAGUE (STEVENS PASSAGE),11,,,,,57.607,-133.642,SE AK,5,0
POINT LULL,POINT LULL,11,,1,,,57.31,-134.807,SE AK,5,0
TENAKEE CANNERY POINT,TENAKEE CANNERY POINT,11,,,,,57.775,-135.072,SE AK,5,0
SEA LION ISLANDS,SEA LION ISLANDS,11,,,,,57.283,-135.883,SE AK,5,0
EMMONS,EMMONS,11,,,,,57.607,-135.523,SE AK,5,0
WHITE SISTERS,WHITE SISTERS,11,1,,1,,57.635,-136.257,SE AK,5,1
CAPE CROSS,CAPE CROSS,11,,1,,,57.912,-136.568,SE AK,5,0
GRAVES ROCK,GRAVES ROCK,11,,1,1,,58.238,-136.757,SE AK,5,1
VENISA,VENISA,11,,,,,58.312,-136.85,SE AK,5,0
INIAN,INIAN,11,,,,,58.272,-136.4,SE AK,5,0
POINT CAROLUS,POINT CAROLUS,11,,,,1,58.367,-136.033,SE AK,5,0
SOUTH MARBLE,SOUTH MARBLE,11,,,,1,58.645,-136.047,SE AK,5,0
CASE (TLINGIT) POINT,CASE (TLINGIT) POINT,11,,,,,58.753,-136.248,SE AK,5,0
THE SISTERS,THE SISTERS,11,,,,,58.172,-135.257,SE AK,5,0
POINT MARSDEN,POINT MARSDEN,11,,,,,58.05,-134.808,SE AK,5,0
DOROTHY,DOROTHY,11,,,,,58.237,-134.057,SE AK,5,0
CIRCLE POINT,CIRCLE POINT,11,,,,,58.125,-134.08,SE AK,5,0
MIST,MIST,11,,,,,57.988,-133.845,SE AK,5,0
BENJAMIN,BENJAMIN,11,,1,,1,58.562,-134.913,SE AK,5,0
MET POINT,MET POINT,11,,,,,58.933,-135.167,SE AK,5,0
ELDRED ROCK,ELDRED ROCK,11,,,,,58.972,-135.222,SE AK,5,0
GRAN (LEDGE) POINT,GRAN (LEDGE) POINT,11,,1,,1,59.133,-135.24,SE AK,5,0
HARBOR POINT,HARBOR POINT,11,,,,,58.605,-137.637,SE AK,5,0
CAPE FAIRWEATHER,CAPE FAIRWEATHER,11,,1,,,58.792,-137.938,SE AK,5,0
SITKAGI BLUFFS,SITKAGI BLUFFS,11,,,,,59.708,-140.65,SE AK,5,0
HOOK POINT,HOOK POINT,10,,1,,1,60.331,-146.26,E GULF,6,0
CAPE HINCHINBROOK,CAPE HINCHINBROOK,10,,,,1,60.233,-146.642,E GULF,6,0
SEAL ROCKS,SEAL ROCKS,10,1,,1,,60.163,-146.836,E GULF,6,1
MIDDLETON,MIDDLETON,10,,1,,1,59.472,-146.313,E GULF,6,0
GLACIER,GLACIER,10,,,,1,60.853,-147.153,E GULF,6,0
POINT ELEANOR,POINT ELEANOR,10,,1,,1,60.583,-147.567,E GULF,6,0
THE NEEDLE,THE NEEDLE,10,,1,,1,60.11,-147.602,E GULF,6,0
PERRY,PERRY,10,,1,,1,60.735,-147.905,E GULF,6,0
PLEIADES,PLEIADES,10,,,,,60.242,-148.008,E GULF,6,0
POINT LaTOUCHE,POINT LaTOUCHE,10,,,,,59.94,-148.05,E GULF,6,0
DANGER,DANGER,10,,,,,59.918,-148.097,E GULF,6,0
POINT ELRINGTON,POINT ELRINGTON,10,,1,,1,59.934,-148.248,E GULF,6,0
PROCESSION ROCKS,PROCESSION ROCKS,10,,,,,60.006,-148.29,E GULF,6,0
CAPE PUGET,CAPE PUGET,10,,,,,59.942,-148.45,E GULF,6,0
CAPE JUNKEN,CAPE JUNKEN,10,,,,,59.913,-148.643,E GULF,6,0
CAPE FAIRFIELD,CAPE FAIRFIELD,10,,,,,59.923,-148.837,E GULF,6,0
AIALIK CAPE,AIALIK CAPE,10,,,,,59.705,-149.524,E GULF,6,0
CHISWELL ISLANDS,CHISWELL ISLANDS,10,,1,1,,59.602,-149.571,E GULF,6,1
GRANITE CAPE,GRANITE CAPE,10,,,,,59.608,-149.76,E GULF,6,0
SEAL ROCKS (KENAI),SEAL ROCKS (KENAI),10,,1,,1,59.52,-149.625,E GULF,6,0
STEEP POINT,STEEP POINT,10,,,,1,59.484,-150.257,E GULF,6,0
RABBIT,RABBIT,10,,,,,59.363,-150.38,E GULF,6,0
NUKA POINT,NUKA POINT,10,,,,,59.3,-150.717,C GULF,7,0
GORE POINT,GORE POINT,10,,1,,1,59.2,-150.967,C GULF,7,0
EAST CHUGACH,EAST CHUGACH,10,,,,,59.105,-151.443,C GULF,7,0
PERL,PERL,10,,,,1,59.095,-151.66,C GULF,7,0
PERL ROCKS,PERL ROCKS,10,,,,,59.09,-151.693,C GULF,7,0
NAGAHUT ROCKS,NAGAHUT ROCKS,10,,1,,1,59.1,-151.772,C GULF,7,0
ELIZABETH/CAPE ELIZABETH,ELIZABETH/CAPE ELIZABETH,10,,,,1,59.156,-151.885,C GULF,7,0
FLAT,FLAT,10,,,,1,59.332,-151.994,C GULF,7,0
WEST AMATULI,WEST AMATULI,9,,,,,58.95,-152.017,C GULF,7,0
SUGARLOAF,SUGARLOAF,9,1,,1,,58.888,-152.04,C GULF,7,1
USHAGAT,USHAGAT/NW,9,,1,,,58.967,-152.317,C GULF,7,0
USHAGAT/ROCKS SOUTH,USHAGAT/ROCKS SOUTH,9,,1,,1,58.882,-152.318,C GULF,7,0
SUD,SUD,9,,1,,1,58.9,-152.208,C GULF,7,0
LATAX ROCKS,LATAX ROCKS,9,,1,,1,58.669,-152.521,C GULF,7,0
SEA OTTER,SEA OTTER,9,,1,,1,58.52,-152.223,C GULF,7,0
SEA OTTER,SEA OTTER/RK NEAR,9,,1,,1,58.508,-152.2,C GULF,7,0
AFOGNAK/TONKI CAPE,AFOGNAK/TONKI CAPE,9,,,,,58.352,-151.987,C GULF,7,0
SEA LION ROCKS (MARMOT),SEA LION ROCKS (MARMOT),9,,1,,1,58.342,-151.814,C GULF,7,0
LONG ISLAND,LONG ISLAND,9,,1,,1,57.78,-152.215,C GULF,7,0
KODIAK/GULL POINT,KODIAK/GULL POINT,9,,1,,1,57.358,-152.603,C GULF,7,0
KODIAK/CAPE BARNABAS,KODIAK/CAPE BARNABAS,9,,1,,1,57.167,-152.877,C GULF,7,0
SITKINAK/CAPE SITKINAK,SITKINAK/CAPE SITKINAK,9,,1,,1,56.571,-153.852,C GULF,7,0
KODIAK/SUNDSTROM,KODIAK/SUNDSTROM,8,,,,,56.683,-154.15,C GULF,7,0
KODIAK/CAPE ALITAK,KODIAK/CAPE ALITAK,8,,,,,56.842,-154.312,C GULF,7,0
KODIAK/CAPE IKOLIK,KODIAK/CAPE IKOLIK,8,,1,,1,57.286,-154.793,C GULF,7,0
KODIAK/TOMBSTONE ROCKS,KODIAK/TOMBSTONE ROCKS,8,,,,,57.353,-154.819,C GULF,7,0
KODIAK/STURGEON HEAD,KODIAK/STURGEON HEAD,8,,,,,57.517,-154.617,C GULF,7,0
KODIAK/CAPE UYAK,KODIAK/CAPE UYAK,8,,,,,57.633,-154.35,C GULF,7,0
KODIAK/CAPE KULIUK,KODIAK/CAPE KULIUK,9,,,,,57.808,-153.933,C GULF,7,0
KODIAK/CAPE UGAT,KODIAK/CAPE UGAT,9,,1,,1,57.873,-153.851,C GULF,7,0
NOISY,NOISY,9,,,,,57.933,-153.558,C GULF,7,0
KODIAK/MALINA POINT,KODIAK/MALINA POINT,9,,,,,58.033,-153.367,C GULF,7,0
KODIAK/STEEP CAPE,KODIAK/STEEP CAPE,9,,,,,58.211,-153.19,C GULF,7,0
KODIAK/CAPE PARAMANOF,KODIAK/CAPE PARAMANOF,9,,,,,58.305,-153.047,C GULF,7,0
SHAW,SHAW,9,,,,1,59,-153.375,C GULF,7,0
CAPE DOUGLAS,CAPE DOUGLAS,9,,,,,58.858,-153.233,C GULF,7,0
SHAKUN ROCKS,SHAKUN ROCKS,9,,1,,1,58.547,-153.692,C GULF,7,0
CAPE NUKSHAK,CAPE NUKSHAK,9,,,,,58.392,-153.982,C GULF,7,0
CAPE UGYAK,CAPE UGYAK,8,,,,,58.283,-154.1,C GULF,7,0
CAPE KULIAK,CAPE KULIAK,8,,1,,1,58.133,-154.208,C GULF,7,0
TAKLI,TAKLI,8,,1,,1,58.029,-154.521,C GULF,7,0
PUALE BAY,PUALE BAY,8,,1,,1,57.677,-155.385,C GULF,7,0
KILOKAK ROCKS,KILOKAK ROCKS,8,,,,1,57.156,-156.275,C GULF,7,0
AIUGNAK COLUMNS,AIUGNAK COLUMNS,8,,,,,56.879,-156.568,C GULF,7,0
UGAIUSHAK,UGAIUSHAK,8,,,,,56.754,-156.854,C GULF,7,0
AGHIYUK,AGHIYUK,8,,,,,56.157,-156.808,C GULF,7,0
LIGHTHOUSE ROCKS,LIGHTHOUSE ROCKS,8,,1,1,,55.778,-157.408,W GULF,8,1
ATKULIK,ATKULIK,8,,,,,56.282,-157.733,W GULF,8,0
KAK,KAK,8,,,,1,56.288,-157.835,W GULF,8,0
CHANKLIUT,CHANKLIUT,8,,,,,56.133,-158.117,W GULF,8,0
SEAL CAPE,SEAL CAPE,8,,,,,55.997,-158.422,W GULF,8,0
MITROFANIA,MITROFANIA,8,,,,1,55.842,-158.703,W GULF,8,0
SPITZ,SPITZ,8,,1,,1,55.777,-158.898,W GULF,8,0
KUPREANOF POINT,KUPREANOF POINT,7,,,,1,55.5646,-159.603,W GULF,8,0
CASTLE ROCK,CASTLE ROCK,7,,1,,1,55.276,-159.493,W GULF,8,0
BIG KONIUJI,BIG KONIUJI,7,,,,,55.25,-159.533,W GULF,8,0
TWINS,TWINS,7,,,,,54.96,-159.876,W GULF,8,0
THE HAYSTACKS,THE HAYSTACKS,7,,,,,55.2678,-160.0573,W GULF,8,0
THE WHALEBACK,THE WHALEBACK,7,,1,1,,55.28,-160.084,W GULF,8,1
NAGAI/RK W OF CAPE WEDGE,NAGAI/RK W OF CAPE WEDGE,7,,,,,55.242,-159.958,W GULF,8,0
EGG (SAND POINT),EGG (SAND POINT),7,,,,,55.277,-160.517,W GULF,8,0
SEA LION ROCKS (SHUMAGINS),SEA LION ROCKS (SHUMAGINS),7,,1,,1,55.077,-160.52,W GULF,8,0
